2018
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
OCORRÊNCIAS DE PORTE DE ENTORPECENTES;7;6;2;6;5;1;11;11;7;9;4;6;75
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES;13;10;15;7;15;7;16;9;19;15;22;10;158
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1);0;0;0;0;1;0;0;0;0;0;0;0;1
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA;0;0;0;1;0;0;1;2;2;3;1;2;12
Nº DE ARMAS DE FOGO APREENDIDAS;3;1;1;4;0;0;1;4;3;8;2;3;30
Nº DE FLAGRANTES LAVRADOS;19;20;21;20;23;12;22;19;24;26;20;12;238
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE;4;2;6;4;3;4;6;1;4;3;10;1;48
Nº DE INFRATORES APREENDIDOS POR MANDADO;1;0;1;1;0;0;0;0;0;0;4;0;7
Nº DE PESSOAS PRESAS EM FLAGRANTE;20;26;25;22;25;14;23;22;26;33;21;15;272
Nº DE PESSOAS PRESAS POR MANDADO;12;12;16;16;17;20;20;22;19;17;14;14;199
Nº DE PRISÕES EFETUADAS;31;32;37;36;40;32;42;41;43;43;34;26;437
Nº DE VEÍCULOS RECUPERADOS;9;4;6;6;3;5;5;8;7;16;14;6;89
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS;138;111;121;158;169;140;125;144;135;162;183;90;1.676

