2018
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
HOMICÍDIO DOLOSO (2);2;1;2;1;0;1;3;0;2;1;3;1;17
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;1;2;1;0;1;4;0;2;1;3;1;18
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;1;1;0;0;0;1;0;1;0;5
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;1;0;1;2
TENTATIVA DE HOMICÍDIO;1;3;1;1;2;1;3;2;2;0;2;2;20
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0
LESÃO CORPORAL DOLOSA;31;15;34;24;28;17;23;23;28;31;26;23;303
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;9;13;14;7;10;6;11;9;13;8;7;12;119
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;0;0;0;0;1;1;0;0;3;0;6
LATROCÍNIO;0;1;0;0;0;0;0;0;0;0;0;0;1
Nº DE VÍTIMAS EM LATROCÍNIO;0;1;0;0;0;0;0;0;0;0;0;0;1
TOTAL DE ESTUPRO (4);2;3;1;3;1;2;0;4;2;0;0;1;19
ESTUPRO;0;0;1;0;0;0;0;0;0;0;0;0;1
ESTUPRO DE VULNERÁVEL;2;3;0;3;1;2;0;4;2;0;0;1;18
TOTAL DE ROUBO - OUTROS (1);4;13;15;14;22;5;1;7;6;12;15;10;124
ROUBO - OUTROS;4;13;15;14;22;5;1;7;6;12;15;10;124
ROUBO DE VEÍCULO;0;0;0;1;1;0;1;1;0;0;1;1;6
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0
FURTO - OUTROS;53;44;58;68;53;84;73;65;68;73;82;46;767
FURTO DE VEÍCULO;5;3;3;4;1;4;1;3;1;15;13;6;59

