2017
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
HOMICÍDIO DOLOSO (2);1;2;1;1;1;1;0;1;0;2;1;2;13
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;2;1;1;1;1;0;2;0;3;1;2;15
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;1;0;1;0;1;0;2;0;0;6
HOMICÍDIO CULPOSO OUTROS;0;0;0;1;0;0;0;0;1;0;0;0;2
TENTATIVA DE HOMICÍDIO;2;4;1;5;0;1;0;2;0;0;2;2;19
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0
LESÃO CORPORAL DOLOSA;33;28;33;25;32;25;31;33;36;27;26;34;363
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;6;5;8;9;13;14;9;9;12;13;5;4;107
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;2;0;0;0;0;0;0;0;0;2
LATROCÍNIO;0;0;1;0;0;0;0;0;0;0;0;0;1
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;1;0;0;0;0;0;0;0;0;0;1
TOTAL DE ESTUPRO (4);2;3;1;2;1;1;0;2;1;1;3;0;17
ESTUPRO;0;0;0;0;0;0;0;0;1;0;0;0;1
ESTUPRO DE VULNERÁVEL;2;3;1;2;1;1;0;2;0;1;3;0;16
TOTAL DE ROUBO - OUTROS (1);26;18;16;29;22;17;23;24;10;16;7;9;217
ROUBO - OUTROS;26;18;16;29;21;17;23;23;10;15;7;9;214
ROUBO DE VEÍCULO;1;1;0;4;0;1;0;0;0;1;0;2;10
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0
ROUBO DE CARGA;0;0;0;0;1;0;0;1;0;1;0;0;3
FURTO - OUTROS;65;87;74;63;71;58;66;56;51;59;65;46;761
FURTO DE VEÍCULO;9;10;10;13;12;11;8;7;15;7;4;4;110

