2019
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
OCORRÊNCIAS DE PORTE DE ENTORPECENTES;7;2;4;...;...;...;...;...;...;...;...;...;9
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES;11;9;15;...;...;...;...;...;...;...;...;...;20
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1);0;0;0;...;...;...;...;...;...;...;...;...;0
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA;0;2;3;...;...;...;...;...;...;...;...;...;2
Nº DE ARMAS DE FOGO APREENDIDAS;6;2;3;...;...;...;...;...;...;...;...;...;8
Nº DE FLAGRANTES LAVRADOS;19;19;21;...;...;...;...;...;...;...;...;...;38
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE;3;2;4;...;...;...;...;...;...;...;...;...;5
Nº DE INFRATORES APREENDIDOS POR MANDADO;1;1;1;...;...;...;...;...;...;...;...;...;2
Nº DE PESSOAS PRESAS EM FLAGRANTE;21;21;21;...;...;...;...;...;...;...;...;...;42
Nº DE PESSOAS PRESAS POR MANDADO;13;17;23;...;...;...;...;...;...;...;...;...;30
Nº DE PRISÕES EFETUADAS;32;36;44;...;...;...;...;...;...;...;...;...;68
Nº DE VEÍCULOS RECUPERADOS;4;8;9;...;...;...;...;...;...;...;...;...;12
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS;138;101;126;...;...;...;...;...;...;...;...;...;239

